#BIBLE VERSE DESKTOP

#name   	Hindi Bible
#language	hindi

; Scripture taken from the Hindi Bible. 

हम परमेश्वर के सहकर्मी हैं	1 कुरिन्थियों 3:9
क्‍या तुम नहीं जानते, कि तुम परमेश्वर का मन्‍दिर हो	1 कुरिन्थियों 3:16
परमेश्वर का मन्‍दिर पवित्र है, और वह तुम हो।	1 कुरिन्थियों 3:17
और तुम मसीह के हो, और मसीह परमेश्वर का है।।	1 कुरिन्थियों 3:23
हम मसीह के लिथे मूर्ख है	1 कुरिन्थियों 4:10
परमश्‍ेवर का राज्य बातोंमें नहीं, परन्‍तु सामर्य में है।	1 कुरिन्थियों 4:20
हमारा भी फसह जो मसीह है, बलिदान हुआ है।	1 कुरिन्थियों 5:7
जो प्रभु की संगति में रहता है, वह उसके साय एक आत्क़ा हो जाता है।	1 कुरिन्थियों 6:17
दाम देकर मोल लिथे गए हो	1 कुरिन्थियों 6:20
अपक्की देह के द्वारा परमेश्वर की महिमा करो।।	1 कुरिन्थियों 6:20
क्‍योंकि इस संसार की रीति और व्यवहार बदलते जाते हैं।	1 कुरिन्थियों 7:31
ज्ञान घमण्‍ड उत्‍पन्न करता है, परन्‍तु प्रेम से उन्नति होती है।	1 कुरिन्थियों 8:1
यदि कोई परमेश्वर से प्रेम रखता है, तो उसे परमेश्वर पहिचानता है।	1 कुरिन्थियों 8:3
तुम वैसे ही दौड़ो, कि जीतो।	1 कुरिन्थियों 9:24
जो समझता है, कि मैं स्यिर हूं, वह चौकस रहे; कि कहीं गिर न पकें।	1 कुरिन्थियों 10:12
परमेश्वर सच्‍चा है: वह तुम्हें सामर्य से बाहर पक्कीझा में न पड़ने देगा	1 कुरिन्थियों 10:13
सब कुछ परमेश्वर की महीमा के लिथे करो।	1 कुरिन्थियों 10:31
सब के लाभ पहुंचाने के लिथे हर एक को आत्क़ा का प्रकाश दिया जाता है।	1 कुरिन्थियों 12:7
तुम बड़ी से बड़ी बरदानोंकी धुन में रहो!	1 कुरिन्थियों 12:31
प्रेम धीरजवन्‍त है, और कृपाल है	1 कुरिन्थियों 13:4
प्रेम डाल नहीं करता; प्रेम अपक्की बड़ाई नहीं करता	1 कुरिन्थियों 13:4
प्रेम कभी टलता नही	1 कुरिन्थियों 13:8
पर अब विश्वास, आशा, प्रेम थे तीनोंस्याई है	1 कुरिन्थियों 13:13
प्रेम का अनुकरण करो, और आत्क़िक बरदानोंकी भी धुन में रहो	1 कुरिन्थियों 14:1
पवित्र शास्‍त्र के वचन के अनुसार यीशु मसीह हमारे पापोंके लिथे मर गया।	1 कुरिन्थियों 15:3
परन्‍तु सचमुच मसीह मुर्दोंमें से जी उठा है	1 कुरिन्थियों 15:20
बुरी संगति अच्‍छे चरित्र को बिगाड़ देती है।	1 कुरिन्थियों 15:33
परमेश्वर का धन्यवाद हो, जो… हमें जयवन्‍त करता है।	1 कुरिन्थियों 15:57
दृढ़ और अटल रहो	1 कुरिन्थियों 15:58
प्रभु के काम में सर्वदा बढ़ते जाओ	1 कुरिन्थियों 15:58
तुम्हारा परिश्र्म प्रभु में व्यर्य नहीं है।।	1 कुरिन्थियों 15:58
जागते रहो, विश्वास में स्यिर रहो, पुरूषार्य करो, बलवन्‍त होओ।	1 कुरिन्थियों 16:13
जो कुछ करते हो प्रेम से करो।।	1 कुरिन्थियों 16:14
परमेश्वर की जितनी प्रतिज्ञाएं हैं, वे सब उसी में हां के साय हैं: इसलिथे उसके द्वारा आमीन भी हुई	2 कुरिन्थियों 1:20
और जो हमें तुम्हारे साय मसीह में दृढ़ करता है, और जिस ने हमें अभिषेक किया वही परमेश्वर है।	2 कुरिन्थियों 1:21
परमेश्वर का धन्यवाद हो, जो मसीह में सदा हम को जय के उत्‍सव में लिथे फिरता है	2 कुरिन्थियों 2:14
हम परमेश्वर के निकट… मसीह के सुगन्‍ध हैं।	2 कुरिन्थियों 2:15
तुम मसीह की पत्री हो	2 कुरिन्थियों 3:3
हमारी योग्यता परमेश्वर की ओर से है।	2 कुरिन्थियों 3:5
जहां कहीं प्रभु का आत्क़ा है वहां स्‍वतंत्रता है।	2 कुरिन्थियों 3:17
परमेश्वर ही है, जिस ने कहा, कि अन्‍धकार में से ज्योति चमके; और वही हमारे ह्रृदयोंमें चमका	2 कुरिन्थियों 4:6
महारे पास यह धन मिट्ठी के बरतनोंमें रखा है	2 कुरिन्थियों 4:7
हम चारोंओर से क्‍लेश तो भोगते हैं, पर संकट में नहीं पड़ते	2 कुरिन्थियों 4:8
निरूपाय तो हैं, पर निराश नहीं होते।	2 कुरिन्थियों 4:8
हमारा क्‍लेश हमारे लिथे बहुत ही महत्‍वपूर्ण और अनन्‍त जीवन महिमा उत्‍पन्न करता जाता है।	2 कुरिन्थियों 4:17
देखी हुई वस्‍तुएं योड़े ही दिन की हैं, परन्‍तु अनदेखी वस्‍तुएं सदा बनी रहती हैं।	2 कुरिन्थियों 4:18
हमें परमेश्वर की ओर से स्‍वर्ग पर एक ऐसा भवन मिलेगा	2 कुरिन्थियों 5:1
हम रूप को देखकर नहीं, पर विश्वास से चलते हैं।	2 कुरिन्थियों 5:7
यदि कोई मसीह में है तो वह नई सृष्‍टि है	2 कुरिन्थियों 5:17
पुरानी बातें बीत गई हैं; देखो, वे सब नई हो गईं।	2 कुरिन्थियों 5:17
हम मसीह की ओर से निवेदन करते हैं, कि परमेश्वर के साय मेल मिलाप कर लो।	2 कुरिन्थियों 5:20
जो पाप से अज्ञात या, उसी को उस ने हमारे लिथे पाप ठहराया	2 कुरिन्थियों 5:21
देखो, अभी उद्धार का दिन है।	2 कुरिन्थियों 6:2
शोक करनेवाले के समान हैं, परन्‍तु सर्वदा आनन्‍द करते हैं	2 कुरिन्थियों 6:10
अशुद्ध वस्‍तु को मत छूओ, तो मैं तुम्हें ग्रहण करूंगा।	2 कुरिन्थियों 6:17
और तुम्हारा पिता हूंगा, और तुम मेरे बेटे और बेटियां होगे	2 कुरिन्थियों 6:18
जब कि थे प्रतिज्ञाएं हमें मिली हैं… हम अपके आप को… शुद्ध करें	2 कुरिन्थियों 7:1
परमेश्वर-भक्ति का शोक ऐसा पश्‍चाताप उत्‍पन्न करता है जिस का परिणाम उद्धार है और फिर उस से पछताना नहीं पड़ता	2 कुरिन्थियों 7:10
वह धनी होकर भी तुम्हारे लिथे कंगाल बन गया ताकि उसके कंगाल हो जाने से तुम धनी हो जाओ।	2 कुरिन्थियों 8:9
जो बातें केवल प्रभु ही के निकट नहीं, परन्‍तु मनुष्योंके निकट भी भली हैं हम उन की चिन्‍ता करते हैं।	2 कुरिन्थियों 8:21
जो बहुत बोता है, वह बहुत काटेगा।	2 कुरिन्थियों 9:6
परमेश्वर हर्ष से देनेवाले से प्रेम रखता है।	2 कुरिन्थियों 9:7
परमेश्वर सच प्रकार का अनुग्रह तुम्हें बहुतायत से दे सकता है	2 कुरिन्थियों 9:8
हर एक भले काम के लिथे तुम्हारे पास बहुत कुछ हो।	2 कुरिन्थियों 9:8
जो बोनेवाले को बीज… देता है वह तुम्हें बीज देगा, और उसे फलवन्‍त करेगा	2 कुरिन्थियों 9:10
परमेश्वर को उसके उस दान के लिथे जो वर्णन से बाहर है, धन्यवाद हो।।	2 कुरिन्थियों 9:15
क्‍योंकि यद्यपि हम शरीर में चलते फिरते हैं, तौभी शरीर के अनुसार नहीं लड़ते।	2 कुरिन्थियों 10:3
हमारी लड़ाई के हिययार शारीरिक नहीं	2 कुरिन्थियों 10:4
हर एक भावना को कैद करके मसीह का आज्ञाकारी बना देते हैं।	2 कुरिन्थियों 10:5
जो घमण्‍ड करे, वह प्रभु पर घमण्‍ड करें।	2 कुरिन्थियों 10:17
मेरी सामर्य निर्बलता में सिद्ध होती है	2 कुरिन्थियों 12:9
आनन्‍दित रहो; सिद्ध बनते जाओ; ढाढ़स रखो	2 कुरिन्थियों 13:11
एक ही मन रखो; मेल से रहो	2 कुरिन्थियों 13:11
उसी ने अपके आप को हमारे पापोंके लिथे दे दिया	गलातियों 1:4
परमेश्वर किसी का पझपात नहीं करता	गलातियों 2:6
हम ने आप भी मसीह यीशु पर विश्वास किया, कि हम… मसीह पर विश्वास करने से धर्मी ठहरें	गलातियों 2:16
अब मैं जीवित न रहा, पर मसीह मुझ में जीवित है	गलातियों 2:20
तो यह जान लो, कि जो विश्वास करनेवाले हैं, वे ही इब्राहीम की सन्‍तान हैं।	गलातियों 3:7
मसीह ने जो हमारे लिथे स्‍त्रापित बना, हमें मोल लेकर व्यवस्या के स्‍त्राप से छुड़ाया	गलातियों 3:13
और यदि तुम मसीह के हो, तो इब्राहीम के वंश और प्रतिज्ञा के अनुसार वारिस भी हो।।	गलातियों 3:29
परमेश्वर ने अपके पुत्र के आत्क़ा को… हमारे ह्रृदय में भेजा है।	गलातियों 4:6
इसलिथे तू अब दास नहीं, परन्‍तु पुत्र है; और जब पुत्र हुआ, तो परमेश्वर के द्वारा वारिस भी हुआ।	गलातियों 4:7
मसीह ने स्‍वतंत्रता के लिथे हमें स्‍वतंत्र किया है; सो इसी में स्यिर रहो	गलातियों 5:1
प्र्रेम से एक दूसरे के दास बनो।	गलातियों 5:13
तू अपके पड़ोसी से अपके समान प्रेम रख।	गलातियों 5:14
आत्क़ा के अनुसार चलो	गलातियों 5:16
पर आत्क़ा का फल प्रेम, आनन्‍द, मेल, धीरज	गलातियों 5:22
और जो मसीह यीशु के हैं, उन्‍होंने शरीर को ... क्रूस पर चढ़ा दिया है।।	गलातियों 5:24
यदि हम आत्क़ा के द्वारा जीवित हैं, तो आत्क़ा के अनुसार चलें भी।	गलातियों 5:25
तुम एक दूसरे के भार उठाओ	गलातियों 6:2
हर एक अपके ही काम को जांच ले	गलातियों 6:4
मनुष्य जो कुछ बोता है, वही काटेगा।	गलातियों 6:7
जो आत्क़ा के लिथे बोता है, वह आत्क़ा के द्वारा अनन्‍त जीवन की कटनी काटेगा।	गलातियों 6:8
हम भले काम करने में हियाव न छोड़े	गलातियों 6:9
जहां तक अवसर मिले हम सब के साय भलाई करें	गलातियों 6:10
परमेश्वर… का धन्यवाद हो, कि उस ने हमें मसीह में… आशीष दी है।	इफिसियों 1:3
उस ने हमें जगत की उत्‍पति से पहिले उस में चुन लिया	इफिसियों 1:4
हम को... उसके लोहू के द्वारा छुटकारा, अर्यात्‍ अपराधोंकी झमा,... मिला है।	इफिसियों 1:7
प्रतिज्ञा किए हुए पवित्र आत्क़ा की छाप लगी।	इफिसियों 1:13
पवित्र लोगोंमें उस की मीरास की महिमा का धन कैसा है।	इफिसियों 1:18
उस की सामर्य हमारी ओर जो विश्वास करते हैं, कितनी महान है	इफिसियों 1:19
विश्वास के द्वारा अनुग्रह ही से तुम्हारा उद्धार हुआ है	इफिसियों 2:8
हम उसके बनाए हुए हैं; और मसीह यीशु में उन भले कामोंके लिथे सृजे गए	इफिसियों 2:10
तुम मसीह के लोहू के द्वारा निकट हो गए हो।	इफिसियों 2:13
तुम अब विदेशी और मुसाफिर नहीं रहे, परन्‍तु पवित्र लोगोंके संगी स्‍वदेशी और परमेश्वर के घराने के हो गए।	इफिसियों 2:19
तुम से बिनती करता हूं, कि जिस बुलाहट से तुम बुलाए गए थे, उसके योग्य चाल चलो।	इफिसियों 4:1
पर हम में से हर एक को मसीह के दान के परिमाण से अनुग्रह मिला है।	इफिसियों 4:7
हर एक अपके पड़ोसी से सच बोले	इफिसियों 4:25
परमेश्वर के पवित्र आत्क़ा को शोकित मत करो	इफिसियों 4:30
एक दूसरे पर कृपाल, और करूणामय हो	इफिसियों 4:32
जैसे परमेश्वर ने मसीह में तुम्हारे अपराध झमा किए, वैसे ही तुम भी एक दूसरे के अपराध झमा करो।।	इफिसियों 4:32
प्रिय, बालकोंकी नाई परमेश्वर के सदृश बनो।	इफिसियों 5:1
मसीह ने भी तुम से प्रेम किया; और हमारे लिथे अपके आप को… बलिदान कर दिया।	इफिसियों 5:2
ज्योति की सन्‍तान की नाई चलो।	इफिसियों 5:8
ज्योंति का फल सब प्रकार की भलाई, और धामिर्कता, और सत्य है।	इफिसियों 5:9
यह परखो, कि प्रभु को क्‍या भाता है	इफिसियों 5:10
ध्यान से देखो, कि कैसी चाल चलते हो; निर्बुद्धियोंकी नाईं नहीं पर बुद्धिमानोंकी नाईं चलो।	इफिसियों 5:15
अवसर को बहुमोल समझो, क्‍योंकि दिन बुरे हैं।	इफिसियों 5:16
ध्यान से समझो, कि प्रभु की इच्‍छा क्‍या है	इफिसियों 5:17
आत्क़ा से परिपूर्ण होते जाओ।	इफिसियों 5:18
मसीह ने भी कलीसिया से प्रेम करके अपके आप को उसके लिथे दे दिया।	इफिसियों 5:25
प्रभु में और उस की शक्ति में बलवन्‍त बनो।	इफिसियों 6:10
परमेश्वर के सारे हिययार बान्‍ध लो	इफिसियों 6:11
हमारा यह मल्लयुद्ध, लोहू और मांस से नहीं	इफिसियों 6:12
सत्य से अपक्की कमर कसकर	इफिसियों 6:14
हर समय… आत्क़ा में प्रार्यना… करते रहो	इफिसियों 6:18
मेरे लिथे जीवित रहना मसीह है, और मर जाना लाभ है।	फिलिप्पियों 1:21
इतना करो कि तुम्हारा चाल-चलन मसीह के सुसमाचार के योग्य हो	फिलिप्पियों 1:27
विरोध या फूठी बड़ाई के लिथे कुछ न करो	फिलिप्पियों 2:3
दीनता से एक दूसरे को अपके से अच्‍छा समझो।	फिलिप्पियों 2:3
डरते और कांपके हुए अपके अपके उद्धार का कार्य्य पूरा करते जाओ।	फिलिप्पियों 2:12
परमेश्वर ही है, जिस न अपक्की सुइच्‍छा निमित्त तुम्हारे मन में इच्‍छा और काम, दोनोंबातोंके करने का प्रभाव डाला है।	फिलिप्पियों 2:13
सब काम बिना कुड़कुड़ाए और बिना विवाद के किया करो।	फिलिप्पियों 2:14
मैं अपके प्रभु मसीह यीशु की पहिचान की उत्तमता के कारण सब बातोंको हानि समझता हूं	फिलिप्पियों 3:8
जो बातें पीछे रह गई हैं उन को भूल कर, आगे की बातोंकी ओर बढ़ता हुआ।	फिलिप्पियों 3:13
पर हमारा स्‍वदेश स्‍वर्ग पर है	फिलिप्पियों 3:20
प्रभु में सदा आनन्‍दित रहो; मैं फिर कहता हूं, आनन्‍दित रहो।	फिलिप्पियों 4:4
तुम्हारी कोमलता सब मनुष्योंपर प्रगट हो	फिलिप्पियों 4:5
प्रभु निकट है।	फिलिप्पियों 4:5
किसी भी बात की चिन्‍ता मत करो	फिलिप्पियों 4:6
हर एक बात में तुम्हारे निवेदन… परमेश्वर के सम्मुख अपस्यित किए जाएं।	फिलिप्पियों 4:6
मैं दीन होना भी जानता हूं और बढ़ना भी जानता हूं	फिलिप्पियों 4:12
जो मुझे सामर्य देता है उस में मैं सब कुछ कर सकता हूं।	फिलिप्पियों 4:13
मेरा परमश्‍ेवर भी… तुम्हारी हर एक घटी को पूरी करेगा।	फिलिप्पियों 4:19
कि तुम… परमेश्वर की इच्‍छा की पहिचान में परिपूर्ण हो जाओ।	कुलुस्सियों 1:9
ताकि तुम्हारा चाल-चलन प्रभु के योग्य हो, और वह सब प्रकार से प्रसन्न हो	कुलुस्सियों 1:10
उसी ने हमें अन्‍धकार के वश से छुड़ाकर	कुलुस्सियों 1:13
हमें छुटकारा अर्यात्‍ पापोंकी झमा प्राप्‍त होती है।	कुलुस्सियों 1:14
मसीह जो महिमा की आशा है तुम में रहता है।	कुलुस्सियों 1:27
जैसे तुम ने मसीह यीशु को प्रभु करके ग्रहण कर लिया है, वैसे ही उसी में चलते रहो।	कुलुस्सियों 2:6
क्‍योंकि उस में ईश्वरत्‍व की सारी परिपूर्णता सदेह वास करती है।	कुलुस्सियों 2:9
और तुम उसी में भरपूर हो गए हो	कुलुस्सियों 2:10
उसे साय जिलाया, और हमारे सब अपराधोंको झमा किया।	कुलुस्सियों 2:13
स्‍वर्गीय वस्‍तुओं की खोज में रहो, जहां मसीह वर्तमान है और परमेश्वर के दिहनी ओर बैठा है।	कुलुस्सियों 3:1
प्रय्‍वी पर की नहीं परन्‍तु स्‍वर्गीय वस्‍तुओं पर ध्यान लगाओ।	कुलुस्सियों 3:2
तुम्हारा जीवन मसीह के साय परमेश्वर में छिपा हुआ है।	कुलुस्सियों 3:3
इन सब के ऊपर प्रेम को… बान्‍ध लो।	कुलुस्सियों 3:14
प्रेम… सिद्धता का किटबन्‍ध है	कुलुस्सियों 3:14
मसीह की शान्‍ति… तुम्हारे ह्रृदय में राज्य करे	कुलुस्सियों 3:15
तुम धन्यवादी बने रहो।	कुलुस्सियों 3:15
मसीह के वचन को अपके ह्रृदय में अधिकाई से बसने दो	कुलुस्सियों 3:16
सब प्रभु यीशु के नाम से करो	कुलुस्सियों 3:17
और जो कुछ तुम करते हो, तन मन से करो, यह समझकर कि ...प्रभु के लिथे करते हो।	कुलुस्सियों 3:23
तुम्हें इस के बदले प्रभु से मीरास मिलेगी	कुलुस्सियों 3:24
प्रार्यना में लगे रहो	कुलुस्सियों 4:2
तुम्हारा वचन सदा अनुग्रह सहित और सलोना हो	कुलुस्सियों 4:6
जो सेवा प्रभु में तुझे सौंपी गई है, उसे सावधानी के साय पूरी करना।।	कुलुस्सियों 4:17
और प्रभु ऐसा करे, कि...तुम्हारा प्रेम भी आपस में,...बढ़े, और उन्नति करता जाए।	1 थिस्सलुनीकियों 3:12
परमेश्वर की इच्‍छा यह है, कि तुम पवित्र बनो	1 थिस्सलुनीकियों 4:3
और तुम में से हर एक पवित्रता और आदर के साय अपके पात्र को प्राप्‍त करना जाने।	1 थिस्सलुनीकियों 4:4
परमेश्वर ने हमें अशुद्ध होने के लिथे नहीं, परन्‍तु पवित्र होने के लिथे बुलाया है।	1 थिस्सलुनीकियों 4:7
कि बाहरवालोंके साय सभ्यता से बर्ताव करो	1 थिस्सलुनीकियों 4:12
तुम सब ज्योति की सन्‍तान, और दिन की सन्‍तान हो	1 थिस्सलुनीकियों 5:5
हम औरोंकी नाई सोते न रहें, पर जागते और सावधान रहें।	1 थिस्सलुनीकियों 5:6
पर हम तो दिन के हैं, ...सावधान रहें।	1 थिस्सलुनीकियों 5:8
परमेश्वर ने हमें क्रोध के लिथे नहीं, परन्‍तु इसलिथे ठहराया कि हम… उद्धार प्राप्‍त करें।	1 थिस्सलुनीकियों 5:9
सदा भलाई करने पर तत्‍पर रहो	1 थिस्सलुनीकियों 5:15
सदा आनन्‍दित रहो।	1 थिस्सलुनीकियों 5:16
निरन्‍तर प्रार्यना मे लगे रहो।	1 थिस्सलुनीकियों 5:17
हर बात में धन्यवाद करो	1 थिस्सलुनीकियों 5:18
सब बातोंको परखो: जो अच्‍छी है उसे पकड़े रहो।	1 थिस्सलुनीकियों 5:21
शान्‍ति का परमेश्वर आप ही तुम्हें पूरी रीति से पवित्र करे	1 थिस्सलुनीकियों 5:23
और तुम्हारी आत्क़ा और प्राण और देह… पूरे पूरे और निर्दोष सुरिझत रहें।	1 थिस्सलुनीकियों 5:23
परमेश्वर ने आदि से तुम्हें चुन लिया; कि… उद्धार पाओ।	2 थिस्सलुनीकियों 2:13
परन्‍तु प्रभु सच्‍चा है; वह तुम्हें दृढ़ता से स्यिर करेगा: और उस दुष्‍ट से सुरिझत रखेगा।	2 थिस्सलुनीकियों 3:3
कोई काम करना न चाहे, तो खाने भी न पाए।	2 थिस्सलुनीकियों 3:10
प्रभु जो शान्‍ति का सोता है आप ही तुम्हें सदा… शान्‍ति दे	2 थिस्सलुनीकियों 3:16
मैं, अपके प्रभु मसीह यीशु का, जिस ने मुझे सामर्य दी है, धन्यवाद करता हूं	1 तीमुथियुस 1:12
मसीह यीशु पापियोंका उद्धार करने के लिथे जगत में आया	1 तीमुथियुस 1:15
परमेश्वर और मनुष्योंके बीच में भी एक ही बिचवई है	1 तीमुथियुस 2:5
भक्ति का भेद गम्भीर है; अर्यात्‍ वह जो शरीर में प्रगट हुआ	1 तीमुथियुस 3:16
हमारी आशा उस जीवते परमेश्वर पर है; जो सब मनुष्योंका,… उद्धारकर्ता है।	1 तीमुथियुस 4:10
जब तक मैं न आऊं, तब तक पढ़ने और उपकेश और सिखाने में लौलीन रह।	1 तीमुथियुस 4:13
उस वरदान से जो तुझ में है, ... निश्‍चिन्‍त न रह।	1 तीमुथियुस 4:14
इन बातोंपर स्यिर रह	1 तीमुथियुस 4:16
दांवनेवाले बैल का मुंह न बान्‍धना	1 तीमुथियुस 5:18
मजदूर अपक्की मजदूरी का ह?दार है।	1 तीमुथियुस 5:18
अपके आप को पवित्र बनाए रख।	1 तीमुथियुस 5:22
पर सन्‍तोष सहित भक्ति बड़ी कमाई है।	1 तीमुथियुस 6:6
यदि हमारे पास खाने और पहिनने को हो, तो इन्‍हीं पर सन्‍तोष करना चाहिए।	1 तीमुथियुस 6:8
रूपके का लोभ सब प्रकार की बुराइयोंकी जड़ है	1 तीमुथियुस 6:10
धर्म, भक्ति, विश्वास, प्रेम, धीरज, और नम्रता का पीछा कर।	1 तीमुथियुस 6:11
विश्वास की अच्‍छी कुश्‍ती लड़	1 तीमुथियुस 6:12
उस अनन्‍त जीवन को धर ले, जिस के लिथे तू बुलाया	1 तीमुथियुस 6:12
इस याती की रखवाली कर	1 तीमुथियुस 6:20
मैं तुझे सुधि दिलाता हूं, कि तू परमेश्वर के उस वरदान को जोतुझे मिला है चमका दे।	2 तीमुथियुस 1:6
परमेश्वर ने हमें भय की नहीं पर सामर्य, और प्रेम, और संयम की आत्क़ा दी है।	2 तीमुथियुस 1:7
हमारे प्रभु की गवाही से,… लज्ज़ित न हो	2 तीमुथियुस 1:8
जो खरी बातें ...उन को ... अपना आदर्श बनाकर रख।	2 तीमुथियुस 1:13
पवित्र आत्क़ा के द्वारा जो हम में बसा हुआ है, इस अच्‍छी याती की रखवाली कर।।	2 तीमुथियुस 1:14
हे मेरे पुत्र, तू उस अनुग्रह से जो मसीह यीशु में है, बलवन्‍त हो जा।	2 तीमुथियुस 2:1
मसीह यीशु के अच्‍छे योद्धा की नाई मेरे साय दुख उठा।	2 तीमुथियुस 2:3
जो गृहस्य परिश्र्म करता है, फल का अंश पहिले उसे मिलना चाहिए।	2 तीमुथियुस 2:6
यीशु मसीह को स्क़रण रख, जो दाऊद के वंश से हुआ, और मरे हुओं में से जी उठा	2 तीमुथियुस 2:8
यदि हम धीरज से सहते रहेंगे, तो उसके साय राज्य भी करेंगे	2 तीमुथियुस 2:12
प्रभु अपनोंको पहिचानता है	2 तीमुथियुस 2:19
जो शुद्ध मन से प्रभु का नाम लेते हैं, उन के साय धर्म, और विश्वास, और प्रेम, और मेल-मिलाप का पीछा कर।	2 तीमुथियुस 2:22
प्रभु के दास को फगड़ालू होना न चाहिए, पर सब के साय कोमल… हो।	2 तीमुथियुस 2:24
जितने मसीह यीशु में भक्ति के साय जीवन बिताना चाहते हैं वे सब सताए जाएंगे।	2 तीमुथियुस 3:12
तू इन बातोंपर जो तू ने सीखीं हैं… दृढ़ बना रह	2 तीमुथियुस 3:14
हर एक पवित्रशास्‍त्र परमेश्वर की प्रेरणा से रचा गया है... शिझा के लिथे लाभदायक है।	2 तीमुथियुस 3:16
ताकि परमेश्वर का जन सिद्ध बने, और हर एक भले काम के लिथे तत्‍पर हो जाए।।	2 तीमुथियुस 3:17
तू वचन को प्रचार कर; समय और असमय तैयार रह	2 तीमुथियुस 4:2
पर तू सब बातोंमें सावधान रह	2 तीमुथियुस 4:5
सुसमाचार प्रचार का काम कर और अपक्की सेवा को पूरा कर।	2 तीमुथियुस 4:5
सब बातोंमें अपके आम को भले कामोंका नमूना बना	तीतुस 2:7
परमेश्वर का अनुग्रह प्रगट है, जो सब मनुष्योंके उद्धार का कारण है।	तीतुस 2:11
उस ने हमारा उद्धार किया: और यह धर्म के कामोंके कारण नहीं,… पर अपक्की दया के अनुसार	तीतुस 3:5
तेरा विश्वास में सहभागी होना… प्रभावशाली हो।	फिलेमोन 1:6
मैं तेरे आज्ञाकारी होने का भरोसा रखकर, तुझे लिखता हूं	फिलेमोन 1:21
चाहिए, कि हम उन बातोंपर जो हम ने सुनी हैं और भी मन लगाएं	इब्रानियों 2:1
क्‍योंकि पवित्र करनेवाला और जो पवित्र किए जाते हैं, सब एक ही मूल से हैं	इब्रानियों 2:11
इसलिथे जब कि लड़के मांस और लोहू के भागी हैं, तो वह आप भी उन के समान उन का सहभागी हो गया	इब्रानियों 2:14
क्‍योंकि जब उस ने पक्कीझा की दशा में दुख उठाया, तो वह उन की भी सहाथता कर सकता है, जिन की पक्कीझा होती है।।	इब्रानियों 2:18
क्‍योंकि हर एक घर का कोई न कोई बनानेवाला होता है, पर जिस ने सब कुछ बनाया वह परमेश्वर है।	इब्रानियों 3:4
पर मसीह पुत्र की नाई उसके घर का अधिक्कारनेी है, और उसका घर हम हैं	इब्रानियों 3:6
हर दिन एक दूसरे को समझाते रहो	इब्रानियों 3:13
हम मसीह के भागी हुए हैं	इब्रानियों 3:14
हम जिन्‍होंने विश्वास किया है, उस विश्रम में प्रवेश करते हैं	इब्रानियों 4:3
सो हम उस विश्रम में प्रवेश करने का प्रयत्‍न करें, ऐसा न हो	इब्रानियों 4:11
परमेश्वर का वचन जीवित, और प्रबल, और हर एक दोधारी तलवार से भी बहुत चोखा है	इब्रानियों 4:12
जिस से हमें काम है, उस की आंखोंके साम्हने सब वस्‍तुएं खुली और बेपरद हैं।।	इब्रानियों 4:13
हम अपके अंगीकार को दृढ़ता से यामें रहे।	इब्रानियों 4:14
हम अनुग्रह के सिंहासन के निकट हियाव बान्‍धकर चलें	इब्रानियों 4:16
उस ने दुख उठा उठाकर आज्ञा माननी सीखी।	इब्रानियों 5:8
मसीह की शिझा की आरम्भ की बातोंको छोड़कर, हम सिद्धता की ओर बढ़ते जाएं	इब्रानियों 6:1
परमेश्वर अन्यायी नहीं, कि तुम्हारे काम, और उस प्रेम को भूल जाए	इब्रानियों 6:10
मैं सचमुच तुझे बहुत आशीष दूंगा, और तेरी सन्‍तान को बढ़ाता जाऊंगा।	इब्रानियों 6:14
जो उसके द्वारा परमेश्वर के पास आते हैं, वह उन का पूरा पूरा उद्धार कर सकता है	इब्रानियों 7:25
वह उन के लिथे बिनती करने को सर्वदा जीवित है।।	इब्रानियों 7:25
मैं अपक्की व्यवस्या को उन के मनोंमें डालूंगा, और उसे उन के ह्रृदय पर लिखूंगा	इब्रानियों 8:10
मैं उन का परमेश्वर ठहरूंगा, और वे मेरे लोग ठहरेंगे।	इब्रानियों 8:10
मसीह का लोहू… तुम्हारे विवेक को मरे हुए कामोंसे क्‍योंन शुद्ध करेगा	इब्रानियों 9:14
हम यीशु मसीह की देह के एक ही बार बलिदान चढ़ाए जाने के द्वारा पवित्र किए गए हैं।	इब्रानियों 10:10
मैं उन के पापोंको, और उन के अधर्म के कामोंको फिर कभी स्क़रण न करूंगा।	इब्रानियों 10:17
अपक्की आशा के अंगीकार को दृढ़ता से यामें रहें	इब्रानियों 10:23
प्रेम, और भले कामोंमें उस्‍काने के लिथे एक दूसरे की चिन्‍ता किया करें।	इब्रानियों 10:24
एक दूसरे के साय इकट्ठा होना ने छोड़ें	इब्रानियों 10:25
सो अपना हियाव न छोड़ो क्‍योंकि उसका प्रतिफल बड़ा है।	इब्रानियों 10:35
तुम्हें धीरज धरना अवश्य है, ताकि परमेश्वर की इच्‍छा को पूरी करके तुम प्रतिज्ञा का फल पाओ।	इब्रानियों 10:36
अब बहुत ही योड़ा समय रह गया है जब कि आनेवाला आएगा, और देर न करेगा।	इब्रानियों 10:37
विश्वास करनेवाले हैं, कि प्राणोंको बचाएं।।	इब्रानियों 10:39
विश्वास आशा की हुई वस्‍तुओं का निश्‍चय, और मन देखी वस्‍तुओं का प्रमाण है।	इब्रानियों 11:1
विश्वास बिना उसे प्रसन्न करना अनहोना है	इब्रानियों 11:6
